file,class,type,cbo,lcom
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\inventory\furnace\AbstractFurnaceInventoryTranslator.java,org.geysermc.geyser.translator.inventory.furnace.AbstractFurnaceInventoryTranslator,class,9,6
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\protocol\java\JavaCustomQueryTranslator.java,org.geysermc.geyser.translator.protocol.java.JavaCustomQueryTranslator,class,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\pack\GeyserResourcePackManifest.java,org.geysermc.geyser.pack.VersionDeserializer,class,8,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\util\InteractiveTag.java,org.geysermc.geyser.util.InteractiveTag,enum,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\protocol\java\entity\player\JavaPlayerCombatKillTranslator.java,org.geysermc.geyser.translator.protocol.java.entity.player.JavaPlayerCombatKillTranslator,class,7,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\level\block\type\FurnaceBlock.java,org.geysermc.geyser.level.block.type.FurnaceBlock,class,3,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\api\src\main\java\org\geysermc\geyser\api\pack\PackCodec.java,org.geysermc.geyser.api.pack.PackCodec,class,8,28
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\GeyserMain.java,org.geysermc.geyser.GeyserMain,class,1,15
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\sound\block\HoeInteractionTranslator.java,org.geysermc.geyser.translator.sound.block.HoeInteractionTranslator,class,6,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\api\src\main\java\org\geysermc\geyser\api\event\EventRegistrar.java,org.geysermc.geyser.api.event.EventRegistrar,interface,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\animal\AnimalEntity.java,org.geysermc.geyser.entity.type.living.animal.AnimalEntity,class,14,10
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\item\type\PotionItem.java,org.geysermc.geyser.item.type.PotionItem,class,13,6
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\item\type\PlayerHeadItem.java,org.geysermc.geyser.item.type.PlayerHeadItem,class,11,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\api\src\main\java\org\geysermc\geyser\api\entity\property\type\GeyserStringEnumProperty.java,org.geysermc.geyser.api.entity.property.type.GeyserStringEnumProperty,interface,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\properties\type\PropertyType.java,org.geysermc.geyser.entity.properties.type.PropertyType,interface,6,6
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\item\type\BannerItem.java,org.geysermc.geyser.item.type.BannerItem,class,19,30
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\protocol\java\level\JavaTrackedWaypointTranslator.java,org.geysermc.geyser.translator.protocol.java.level.JavaTrackedWaypointTranslator,class,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\CopperGolemEntity.java,org.geysermc.geyser.entity.type.living.CopperGolemEntity$ChestInteractionState,enum,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\protocol\java\level\JavaSetTimeTranslator.java,org.geysermc.geyser.translator.protocol.java.level.JavaSetTimeTranslator,class,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\level\MapColor.java,org.geysermc.geyser.level.MapColor,enum,1,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\item\Items.java,org.geysermc.geyser.item.Items,class,37,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\session\dialog\input\DialogInputParseException.java,org.geysermc.geyser.session.dialog.input.DialogInputParseException,class,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\level\block\entity\ShulkerBoxBlockEntityTranslator.java,org.geysermc.geyser.translator.level.block.entity.ShulkerBoxBlockEntityTranslator,class,8,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\protocol\java\dialogues\JavaShowDialogueConfigurationTranslator.java,org.geysermc.geyser.translator.protocol.java.dialogues.JavaShowDialogueConfigurationTranslator,class,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\bootstrap\mod\neoforge\src\main\java\org\geysermc\geyser\platform\neoforge\mixin\PermissionNodeMixin.java,org.geysermc.geyser.platform.neoforge.mixin.PermissionNodeMixin,interface,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\registry\populator\CustomBlockRegistryPopulator.java,org.geysermc.geyser.registry.populator.CustomBlockRegistryPopulator$Anonymous1,anonymous,4,6
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\collision\OtherCollision.java,org.geysermc.geyser.translator.collision.OtherCollision,class,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\protocol\java\level\JavaSetDefaultSpawnPositionTranslator.java,org.geysermc.geyser.translator.protocol.java.level.JavaSetDefaultSpawnPositionTranslator,class,6,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\api\src\main\java\org\geysermc\geyser\api\event\downstream\ServerDefineCommandsEvent.java,org.geysermc.geyser.api.event.downstream.ServerDefineCommandsEvent$CommandInfo,interface,0,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\configuration\GeyserCustomSkullConfiguration.java,org.geysermc.geyser.configuration.GeyserCustomSkullConfiguration,class,1,2
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\ThrowableItemEntity.java,org.geysermc.geyser.entity.type.ThrowableItemEntity,class,8,9
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\level\physics\CollisionManager.java,org.geysermc.geyser.level.physics.CollisionManager,class,23,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\bootstrap\velocity\src\main\java\org\geysermc\geyser\platform\velocity\GeyserVelocityPlugin.java,org.geysermc.geyser.platform.velocity.GeyserVelocityPlugin,class,33,94
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\registry\loader\SoundRegistryLoader.java,org.geysermc.geyser.registry.loader.SoundRegistryLoader,class,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\animal\PandaEntity.java,org.geysermc.geyser.entity.type.living.animal.PandaEntity,class,20,31
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\level\block\property\BasicEnumProperty.java,org.geysermc.geyser.level.block.property.BasicEnumProperty,class,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\DisplayBaseEntity.java,org.geysermc.geyser.entity.type.DisplayBaseEntity,class,8,8
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\animal\ArmadilloEntity.java,org.geysermc.geyser.entity.type.living.animal.ArmadilloEntity$State,enum,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\bootstrap\mod\src\main\java\org\geysermc\geyser\platform\mod\mixin\client\IntegratedServerMixin.java,org.geysermc.geyser.platform.mod.mixin.client.IntegratedServerMixin,class,12,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\protocol\bedrock\BedrockLecternUpdateTranslator.java,org.geysermc.geyser.translator.protocol.bedrock.BedrockLecternUpdateTranslator,class,8,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\animal\PandaEntity.java,org.geysermc.geyser.entity.type.living.animal.PandaEntity$Gene,enum,2,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\util\AttributeUtils.java,org.geysermc.geyser.util.AttributeUtils,class,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\api\src\main\java\org\geysermc\geyser\api\bedrock\camera\CameraPosition.java,org.geysermc.geyser.api.bedrock.camera.CameraPosition$Builder,interface,8,45
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\registry\loader\NbtRegistryLoader.java,org.geysermc.geyser.registry.loader.NbtRegistryLoader,class,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\text\AsteriskSerializer.java,org.geysermc.geyser.text.AsteriskSerializer,class,7,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\extension\GeyserExtensionDescription.java,org.geysermc.geyser.extension.Source,class,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\session\DownstreamSession.java,org.geysermc.geyser.session.DownstreamSession,class,6,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\level\block\entity\RequiresBlockState.java,org.geysermc.geyser.translator.level.block.entity.RequiresBlockState,interface,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\api\src\main\java\org\geysermc\geyser\api\entity\property\BatchPropertyUpdater.java,org.geysermc.geyser.api.entity.property.BatchPropertyUpdater,interface,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\animal\farm\TemperatureVariantAnimal.java,org.geysermc.geyser.entity.type.living.animal.farm.TemperatureVariantAnimal$BuiltInVariant,enum,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\api\src\main\java\org\geysermc\geyser\api\entity\type\player\GeyserPlayerEntity.java,org.geysermc.geyser.api.entity.type.player.GeyserPlayerEntity,interface,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\level\block\type\DoorBlock.java,org.geysermc.geyser.level.block.type.DoorBlock,class,6,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\network\netty\LocalChannelWithRemoteAddress.java,org.geysermc.geyser.network.netty.LocalChannelWithRemoteAddress,class,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\protocol\java\JavaUpdateRecipesTranslator.java,org.geysermc.geyser.translator.protocol.java.JavaUpdateRecipesTranslator,class,25,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\bootstrap\mod\src\main\java\org\geysermc\geyser\platform\mod\mixin\server\ServerConnectionListenerMixin.java,org.geysermc.geyser.platform.mod.mixin.server.ServerConnectionListenerMixin,class,6,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\animal\SheepEntity.java,org.geysermc.geyser.entity.type.living.animal.SheepEntity,class,17,13
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\protocol\java\level\JavaSetChunkCacheRadiusTranslator.java,org.geysermc.geyser.translator.protocol.java.level.JavaSetChunkCacheRadiusTranslator,class,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\protocol\java\JavaCodeOfConductTranslator.java,org.geysermc.geyser.translator.protocol.java.JavaCodeOfConductTranslator,class,6,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\ping\GeyserPingInfo.java,org.geysermc.geyser.ping.GeyserPingInfo,class,6,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\command\defaults\OffhandCommand.java,org.geysermc.geyser.command.defaults.OffhandCommand,class,3,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\inventory\updater\AnvilInventoryUpdater.java,org.geysermc.geyser.inventory.updater.AnvilInventoryUpdater,class,19,153
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\api\src\main\java\org\geysermc\geyser\api\bedrock\camera\CameraFade.java,org.geysermc.geyser.api.bedrock.camera.CameraFade$Builder,interface,4,10
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\monster\ElderGuardianEntity.java,org.geysermc.geyser.entity.type.living.monster.ElderGuardianEntity,class,5,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\command\defaults\DumpCommand.java,org.geysermc.geyser.command.defaults.DumpCommand,class,13,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\animal\tameable\WolfEntity.java,org.geysermc.geyser.entity.type.living.animal.tameable.WolfEntity$BuiltInVariant,enum,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\event\GeyserEventBus.java,org.geysermc.geyser.event.GeyserEventBus,class,15,6
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\animal\MooshroomEntity.java,org.geysermc.geyser.entity.type.living.animal.MooshroomEntity,class,14,8
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\animal\farm\TemperatureVariantAnimal.java,org.geysermc.geyser.entity.type.living.animal.farm.TemperatureVariantAnimal,class,9,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\level\block\GeyserMaterialInstance.java,org.geysermc.geyser.level.block.GeyserMaterialInstance,class,5,9
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\animal\farm\ChickenEntity.java,org.geysermc.geyser.entity.type.living.animal.farm.ChickenEntity,class,9,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\registry\loader\BiomeIdentifierRegistryLoader.java,org.geysermc.geyser.registry.loader.BiomeIdentifierRegistryLoader$Anonymous1,anonymous,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\protocol\java\scoreboard\JavaResetScorePacket.java,org.geysermc.geyser.translator.protocol.java.scoreboard.JavaResetScorePacket,class,8,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\GeyserBootstrap.java,org.geysermc.geyser.GeyserBootstrap,interface,15,300
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\configuration\GeyserConfig.java,org.geysermc.geyser.configuration.GeyserConfig$JavaConfig,interface,6,28
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\WitherSkullEntity.java,org.geysermc.geyser.entity.type.WitherSkullEntity,class,5,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\level\block\type\CauldronBlock.java,org.geysermc.geyser.level.block.type.CauldronBlock,class,7,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\util\CpuUtils.java,org.geysermc.geyser.util.CpuUtils,class,1,6
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\network\UpstreamPacketHandler.java,org.geysermc.geyser.network.UpstreamPacketHandler,class,40,85
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\network\InvalidPacketHandler.java,org.geysermc.geyser.network.InvalidPacketHandler,class,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\session\dialog\BuiltInDialog.java,org.geysermc.geyser.session.dialog.BuiltInDialog,class,2,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\input\InputLocksFlag.java,org.geysermc.geyser.input.InputLocksFlag,enum,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\item\hashing\data\entity\VillagerVariant.java,org.geysermc.geyser.item.hashing.data.entity.VillagerVariant,enum,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\api\src\main\java\org\geysermc\geyser\api\event\EventBus.java,org.geysermc.geyser.api.event.EventBus,interface,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\FlyingEntity.java,org.geysermc.geyser.entity.type.living.FlyingEntity,class,4,0
